name,network,longitude,latitude,intensity_mmi,pga,pgv,distance_km
Bachau,INTENSITY,70.3722,23.30981,9.0,61.8562,97.0901,23.372
Lodai (Intensity IX),INTENSITY,69.9,23.38,9.0,63.1659,97.8214,21.415
Padana (Intensity IX),INTENSITY,70.2,23.16,9.0,57.7605,94.7371,31.107
Vyara (Intensity VI),INTENSITY,73.42,23.13,6.0,6.2112,7.985,297.48
Kotadi (Intensity VIII),INTENSITY,69.08,23.05,8.0,24.1524,39.6678,112.933
Tankara (Intensity VIII),INTENSITY,70.75,22.65,8.0,24.886,40.0951,99.675
Jaisalmere (Intensity V),INTENSITY,71.0,26.9,5.0,1.8095,3.7319,368.566
Bhabhar (Intensity VIII),INTENSITY,71.6,24.1,8.0,23.5447,39.3074,125.605
Patdi (Intensity VII),INTENSITY,71.8,23.18,7.0,13.1327,18.2475,137.006
Multan (Intensity V),INTENSITY,71.46,31.45,5.0,1.8095,3.7319,873.9
Halra (Intensity X),INTENSITY,70.45,23.41,9.0,66.8888,99.8483,16.862
Davari (Intensity IX),INTENSITY,70.62,23.7,9.0,66.8655,99.8358,16.887
Haripur (Intensity VIII),INTENSITY,70.77,23.12,8.0,28.5188,42.1001,56.444
Modpur,INTENSITY,70.5302,22.85183,8.0,26.8635,41.2082,72.443
Jamnagar (Intensity VIII),INTENSITY,70.06,22.46,8.0,24.6923,39.9831,102.979
Chhadwal (Intensity X),INTENSITY,70.46,23.27,9.0,58.0608,94.9132,30.441
Rawapar (Intensity VII),INTENSITY,69.04,23.52,7.0,13.8955,18.6202,108.244
Kanchipuram (Intensity III),INTENSITY,79.71,12.82,3.0,null,null,1516.983
Narayan Sarovar (Intensity VII),INTENSITY,68.59,23.68,7.0,12.7311,18.0457,155.967
Muru (Intensity VII),INTENSITY,69.19,23.51,7.0,14.4145,18.8663,92.885
Jalaun (Intensity III),INTENSITY,79.83,26.13,3.0,null,null,979.61
Vav (Intensity VIII),INTENSITY,71.52,24.38,8.0,23.1237,39.0543,135.429
Bhopal (Intensity IV),INTENSITY,77.41,23.27,4.0,0.3452,0.8443,699.966
Sarsod (Intensity VII),INTENSITY,72.7,22.17,7.0,11.2066,17.24,265.588
Kuda (Intensity X),INTENSITY,70.43,23.53,9.0,75.8097,104.4268,4.782
Navlakhi,INTENSITY,70.4526,22.93485,8.0,27.9161,41.7793,61.707
Gulbarga (Intensity III),INTENSITY,76.83,17.4,3.0,null,null,935.366
Wataman,INTENSITY,72.4392,22.4977,6.0,6.6454,8.1806,224.379
Alirajpur (Intensity VI),INTENSITY,74.36,22.31,6.0,6.1986,7.9793,411.862
Chotila (Intensity VII),INTENSITY,71.18,23.42,7.0,15.3639,19.3023,71.175
Papanad (Intensity II),INTENSITY,79.28,10.54,2.0,null,null,1695.065
Pithadiya (Intensity VII),INTENSITY,70.43,22.35,7.0,13.6354,18.4947,117.125
Gundala (Intensity VIII),INTENSITY,69.76,22.88,8.0,27.101,41.3383,69.831
Pokhran (Intensity V),INTENSITY,71.58,26.55,5.0,1.8095,3.7319,344.214
Naushahro Firoz (Intensity VI),INTENSITY,68.12,26.85,6.0,6.1986,7.9793,426.334
Mundra Port (Intensity VIII),INTENSITY,69.69,22.76,8.0,25.888,40.6659,84.536
Bherandiala (Intensity VIII),INTENSITY,69.72,23.64,8.0,30.2702,43.0084,44.014
Mandvi (Intensity VIII),INTENSITY,69.34,23.09,8.0,25.7172,40.5696,86.905
Viramgam (Intensity VII),INTENSITY,72.05,23.12,7.0,12.6056,17.9818,162.55
Wadhwan (Intensity VIII),INTENSITY,71.68,22.72,8.0,22.6564,38.7698,147.474
Godhra (Intensity VI),INTENSITY,73.61,22.78,6.0,6.1986,7.9793,323.816
Canacona (Intensity II),INTENSITY,74.12,14.99,2.0,null,null,1007.302
Radhanpur (Intensity VIII),INTENSITY,71.62,23.85,8.0,23.8998,39.5187,118.0
Khankhoi (Intensity X),INTENSITY,70.37,23.54,9.0,75.8097,104.4268,1.573
Amran (Intensity VIII),INTENSITY,70.55,22.81,8.0,26.4638,40.9876,77.12
Sapeda (Intensity IX),INTENSITY,69.97,23.14,9.0,56.1034,93.7547,35.125
Kottayam (Intensity II),INTENSITY,76.53,9.56,2.0,null,null,1656.339
Adriana (Intensity VIII),INTENSITY,71.08,23.45,8.0,28.0172,41.8335,60.783
Chitrod (Intensity IX),INTENSITY,70.69,23.39,9.0,58.6069,95.232,29.275
Tikai (Intensity VIII),INTENSITY,71.1,23.15,8.0,26.594,41.0597,75.556
Kundli,INTENSITY,71.69272,22.25586,6.0,6.9846,8.3278,182.288
Kunaria (Intensity IX),INTENSITY,69.73,23.38,9.0,54.988,93.0828,38.196
Bangalore (Intensity III),INTENSITY,77.6,12.95,3.0,null,null,1375.532
Jodhpur (Intensity VI),INTENSITY,73.03,26.31,6.0,6.1986,7.9793,394.311
Rehamota (Intensity IX),INTENSITY,69.74,23.12,9.0,51.3135,90.8057,50.977
Mangalmodi (Intensity VI),INTENSITY,74.06,22.82,6.0,6.1986,7.9793,367.346
Thatta (Intensity VII),INTENSITY,67.92,24.75,7.0,11.2207,17.2477,264.197
Hanumangarh (Intensity IV),INTENSITY,74.29,29.62,4.0,0.3452,0.8443,765.772
Nandurbar (Intensity V),INTENSITY,74.31,21.33,5.0,1.8095,3.7319,454.024
Bundi (Intensity V),INTENSITY,75.68,25.45,5.0,1.8095,3.7319,563.275
Umrapar (Intensity VIII),INTENSITY,70.45,23.91,8.0,32.1893,43.9656,34.055
Jetpur,INTENSITY,70.90365,22.95097,8.0,26.4079,40.9565,77.805
Kapadvanj (Intensity VI),INTENSITY,73.08,23.03,6.0,6.3834,8.0636,265.396
Bharatpur (Intensity IV),INTENSITY,77.45,26.24,4.0,0.3452,0.8443,759.557
Palsana (Intensity VI),INTENSITY,72.92,21.1,6.0,6.1986,7.9793,359.532
Morbi (Intensity VIII),INTENSITY,70.85,22.85,8.0,25.8808,40.6619,84.634
Tornia (Intensity X),INTENSITY,70.48,23.47,9.0,72.0985,102.5665,12.33
Chansama,INTENSITY,72.13008,23.69686,5.0,2.7462,3.9263,166.012
Samakhiali (Intensity IX),INTENSITY,70.51,23.3,9.0,58.5001,95.1698,29.498
Godpar (Intensity VIII),INTENSITY,69.54,23.11,8.0,27.2768,41.4341,67.972
Fatethgarh,INTENSITY,70.84883,23.66137,7.0,17.9798,20.4203,36.928
Junagadh (Intensity VII),INTENSITY,70.48,21.53,7.0,11.941,17.6363,203.779
Sitapur (Intensity III),INTENSITY,80.69,27.56,3.0,null,null,1110.373
Patna (Intensity II),INTENSITY,85.13,25.37,2.0,null,null,1484.939
Dahod (Intensity VI),INTENSITY,74.25,22.84,6.0,6.1986,7.9793,385.832
Delhi (Intensity IV),INTENSITY,77.25,28.64,4.0,0.3452,0.8443,875.434
Nellore (Intensity III),INTENSITY,79.73,14.4,3.0,null,null,1386.282
Damnagar (Intensity VII),INTENSITY,71.52,21.7,7.0,11.6867,17.5009,222.932
Kurnool (Intensity III),INTENSITY,78.03,15.82,3.0,null,null,1149.271
Dharampur (Intensity IX),INTENSITY,69.99,23.38,9.0,70.998,102.003,13.148
Rampur (Intensity IV),INTENSITY,79.08,28.8,4.0,0.3452,0.8443,1031.88
Nagpur (Intensity III),INTENSITY,79.07,21.14,3.0,null,null,911.844
Darang,INTENSITY,69.81,23.37244,8.0,33.0686,44.392,30.432
Adhoi (Intensity X),INTENSITY,70.52,23.41,9.0,64.6004,98.6112,19.499
Bahawalpur (Intensity V),INTENSITY,71.7,29.39,5.0,1.8095,3.7319,651.913
Matanamadh,INTENSITY,68.97828,23.50994,5.0,3.5693,4.0536,114.463
Nashik (Intensity V),INTENSITY,73.8,19.98,5.0,1.8095,3.7319,512.003
Phala (Intensity VIII),INTENSITY,70.3,22.53,8.0,25.0837,40.2089,96.438
Morena (Intensity IV),INTENSITY,78.02,26.38,4.0,0.3452,0.8443,817.792
Limkheda (Intensity VI),INTENSITY,73.9,22.88,6.0,6.1986,7.9793,350.084
Rohtak (Intensity IV),INTENSITY,76.56,28.89,4.0,0.3452,0.8443,842.024
